level=INFO ts=2019-10-19T02:54:12.418505Z app=device-simple source=init.go:137 msg="Check Metadata service's status ..."
level=INFO ts=2019-10-19T02:54:12.418501Z app=device-simple source=init.go:137 msg="Check Data service's status ..."
level=ERROR ts=2019-10-19T02:54:12.420222Z app=device-simple source=init.go:148 msg="Error getting ping: Get http://localhost:48080/api/v1/ping: dial tcp [::1]:48080: connect: connection refused "
level=ERROR ts=2019-10-19T02:54:12.420232Z app=device-simple source=init.go:148 msg="Error getting ping: Get http://localhost:48081/api/v1/ping: dial tcp [::1]:48081: connect: connection refused "
level=INFO ts=2019-10-19T02:54:17.421607Z app=device-simple source=init.go:137 msg="Check Metadata service's status ..."
level=INFO ts=2019-10-19T02:54:17.421586Z app=device-simple source=init.go:137 msg="Check Data service's status ..."
level=ERROR ts=2019-10-19T02:54:17.423625Z app=device-simple source=init.go:148 msg="Error getting ping: Get http://localhost:48081/api/v1/ping: dial tcp [::1]:48081: connect: connection refused "
level=ERROR ts=2019-10-19T02:54:17.423847Z app=device-simple source=init.go:148 msg="Error getting ping: Get http://localhost:48080/api/v1/ping: dial tcp [::1]:48080: connect: connection refused "
level=INFO ts=2019-10-19T02:54:22.427442Z app=device-simple source=init.go:137 msg="Check Data service's status ..."
level=INFO ts=2019-10-19T02:54:22.427465Z app=device-simple source=init.go:137 msg="Check Metadata service's status ..."
level=ERROR ts=2019-10-19T02:54:22.429599Z app=device-simple source=init.go:148 msg="Error getting ping: Get http://localhost:48080/api/v1/ping: dial tcp [::1]:48080: connect: connection refused "
level=ERROR ts=2019-10-19T02:54:22.429814Z app=device-simple source=init.go:148 msg="Error getting ping: Get http://localhost:48081/api/v1/ping: dial tcp [::1]:48081: connect: connection refused "
level=ERROR ts=2019-10-19T02:54:27.435047Z app=device-simple source=init.go:132 msg="service dependency Metadata checking time out"
level=ERROR ts=2019-10-19T02:54:27.435047Z app=device-simple source=init.go:132 msg="service dependency Data checking time out"
level=INFO ts=2019-10-19T04:08:56.701172Z app=device-simple source=init.go:137 msg="Check Metadata service's status ..."
level=INFO ts=2019-10-19T04:08:56.701164Z app=device-simple source=init.go:137 msg="Check Data service's status ..."
level=INFO ts=2019-10-19T04:08:56.705331Z app=device-simple source=init.go:47 msg="Service clients initialize successful."
level=INFO ts=2019-10-19T04:08:56.720536Z app=device-simple source=service.go:149 msg="Device Service device-simple exists"
level=INFO ts=2019-10-19T04:08:56.793713Z app=device-simple source=service.go:120 msg="*Service Start() called, name=device-simple, version=to be replaced by makefile"
level=INFO ts=2019-10-19T04:08:56.793964Z app=device-simple source=service.go:126 msg="Listening on port: 49992"
level=INFO ts=2019-10-19T04:08:56.794143Z app=device-simple source=service.go:127 msg="Service started in: 93.624276ms"
level=INFO ts=2019-10-19T04:09:04.95417Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=6c9f3840-e03c-4ebf-9f80-6a19404ada10 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:09:04.955484Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=5674ccbc-c7fb-41f4-995c-27ef4ff8710f msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:09:12.974705Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=42da3b40-524c-447e-a457-61d29667b25e msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:09:12.981247Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=6910d06c-1650-4560-92f9-6e517d7ac249 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:09:20.988429Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=dd5ece39-dba7-4748-8282-771a6fb037d0 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:09:21.010289Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=5a70d389-f91a-4f65-ba63-36a17cbdf5b8 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:09:28.981387Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=07469241-9e59-4c44-b234-e0b169968951 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:09:28.981483Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=27c03a5b-06bf-47f8-8409-6438252f0393 msg="SendEvent: Pushed event to core data"
